Id;X;Y;Z;Teneur (%)
146;427098.951;5839196.034;8764.087675;7.20610938
147;427138.951;5839196.034;8764.087675;7.20134604
148;427178.951;5839196.034;8764.087675;7.19782991
149;427218.951;5839196.034;8764.087675;7.19507495
150;427258.951;5839196.034;8764.087675;7.19284389
151;427298.951;5839196.034;8764.087675;7.19100452
152;427338.951;5839196.034;8764.087675;7.18947193
153;427378.951;5839196.034;8764.087675;7.18818611
155;426218.951;5839236.034;8764.087675;7.18511443
156;426258.951;5839236.034;8764.087675;7.18559119
157;426298.951;5839236.034;8764.087675;7.1861391
158;426338.951;5839236.034;8764.087675;7.18678005
159;426378.951;5839236.034;8764.087675;7.18754018
160;426418.951;5839236.034;8764.087675;7.18844239
161;426458.951;5839236.034;8764.087675;7.18944819
162;426498.951;5839236.034;8764.087675;7.19018429
163;426538.951;5839236.034;8764.087675;7.18844887
164;426578.951;5839236.034;8764.087675;7.16591894
165;426618.951;5839236.034;8764.087675;7.0338162
166;426658.951;5839236.034;8764.087675;7.17337904
167;426698.951;5839236.034;8764.087675;7.20569029
168;426738.951;5839236.034;8764.087675;7.21556852
169;426778.951;5839236.034;8764.087675;7.22035717
170;426818.951;5839236.034;8764.087675;7.22414427
171;426858.951;5839236.034;8764.087675;7.23578269
